species,origin,spill_schedule,my,cohort_1,cohort_2,cohort_3,cohort_4
Chinook,both,0011,1998,0.153,0.329,0.898,1
Chinook,both,0011,1999,0.029,0.182,0.917,1
Chinook,both,0011,2000,0.026,0.167,0.94,1
Chinook,both,0011,2001,0.48,0.736,0.999,1
Chinook,both,0011,2002,0.25,0.555,0.993,1
Chinook,both,0011,2003,0.097,0.225,0.947,0.997
Chinook,both,0011,2004,0.246,0.503,0.979,1
Chinook,both,0011,2005,0.395,0.686,0.977,0.999
Chinook,both,0011,2006,0.192,0.247,0.905,0.991
Chinook,both,0011,2007,0.159,0.215,0.938,0.995
Chinook,both,0011,2008,0.553,0.771,0.988,0.997
Chinook,both,0011,2009,0.2,0.308,0.896,0.996
Chinook,both,0011,2010,0.07,0.24,0.961,1
Chinook,both,0011,2011,0.106,0.249,0.932,0.994
Chinook,both,0011,2012,0.061,0.178,0.952,0.996
Chinook,both,0011,2013,0.11,0.226,0.986,0.996
Chinook,both,0011,2014,0.055,0.248,0.878,0.998
Chinook,both,1100,1998,0.813,0.64,0.089,0
Chinook,both,1100,1999,0.956,0.789,0.073,0
Chinook,both,1100,2000,0.966,0.821,0.053,0
Chinook,both,1100,2001,0.415,0.199,0.001,0
Chinook,both,1100,2002,0.71,0.417,0.006,0
Chinook,both,1100,2003,0.876,0.737,0.045,0.002
Chinook,both,1100,2004,0.693,0.451,0.017,0
Chinook,both,1100,2005,0.526,0.27,0.017,0.001
Chinook,both,1100,2006,0.773,0.706,0.08,0.007
Chinook,both,1100,2007,0.804,0.746,0.052,0.003
Chinook,both,1100,2008,0.35,0.174,0.008,0.002
Chinook,both,1100,2009,0.746,0.635,0.086,0.003
Chinook,both,1100,2010,0.907,0.712,0.037,0
Chinook,both,1100,2011,0.87,0.72,0.058,0.005
Chinook,both,1100,2012,0.921,0.789,0.04,0.003
Chinook,both,1100,2013,0.859,0.737,0.01,0.002
Chinook,both,1100,2014,0.926,0.719,0.103,0.002
Steelhead,both,0011,1998,0.223,0.346,0.942,0.998
Steelhead,both,0011,1999,0.124,0.2,0.863,1
Steelhead,both,0011,2000,0.022,0.131,0.946,1
Steelhead,both,0011,2001,0.453,0.711,0.991,1
Steelhead,both,0011,2002,0.127,0.403,1,1
Steelhead,both,0011,2003,0.065,0.334,0.979,1
Steelhead,both,0011,2004,0.171,0.638,0.996,1
Steelhead,both,0011,2005,0.373,0.695,0.988,0.998
Steelhead,both,0011,2006,0.049,0.231,0.813,0.964
Steelhead,both,0011,2007,0.073,0.219,0.92,0.997
Steelhead,both,0011,2008,0.393,0.471,0.955,0.985
Steelhead,both,0011,2009,0.081,0.221,0.919,0.993
Steelhead,both,0011,2010,0.212,0.344,0.975,1
Steelhead,both,0011,2011,0.064,0.25,0.918,0.989
Steelhead,both,0011,2012,0.037,0.128,0.777,0.976
Steelhead,both,0011,2013,0.058,0.299,0.955,0.975
Steelhead,both,0011,2014,0.041,0.172,0.91,0.996
Steelhead,both,1100,1998,0.742,0.606,0.051,0.002
Steelhead,both,1100,1999,0.842,0.762,0.128,0
Steelhead,both,1100,2000,0.969,0.849,0.051,0
Steelhead,both,1100,2001,0.458,0.208,0.007,0
Steelhead,both,1100,2002,0.815,0.544,0,0
Steelhead,both,1100,2003,0.911,0.62,0.018,0
Steelhead,both,1100,2004,0.797,0.304,0.003,0
Steelhead,both,1100,2005,0.551,0.254,0.008,0.001
Steelhead,both,1100,2006,0.936,0.723,0.154,0.025
Steelhead,both,1100,2007,0.9,0.745,0.068,0.002
Steelhead,both,1100,2008,0.514,0.444,0.03,0.009
Steelhead,both,1100,2009,0.888,0.725,0.066,0.004
Steelhead,both,1100,2010,0.731,0.573,0.022,0
Steelhead,both,1100,2011,0.914,0.694,0.067,0.007
Steelhead,both,1100,2012,0.947,0.836,0.191,0.018
Steelhead,both,1100,2013,0.927,0.632,0.033,0.017
Steelhead,both,1100,2014,0.944,0.793,0.077,0.003
